Iteration,Discriminator Loss,Generator Loss
6880,1.365462,0.730944
6890,1.361242,0.806462
6900,1.181420,0.634138
6910,1.323933,0.665708
6920,1.412656,0.758784
6930,1.385024,0.762134
6940,1.256423,0.705876
6950,1.296330,0.563735
6960,1.374472,0.708448
6970,1.289937,0.680987
6980,1.270741,0.441859
6990,1.286039,0.761122
7000,1.334199,0.773211
7010,1.256590,0.729004
7020,1.291498,0.562165
7030,1.247928,0.635060
7040,1.192275,0.672853
7050,1.287679,0.736428
7060,1.191697,0.606451
7070,1.280617,0.787895
7080,1.231079,0.497698
7090,1.236420,0.625170
7100,1.261808,0.574162
7110,1.368619,0.760752
7120,1.196792,0.627287
7130,1.324745,0.741035
7140,1.322171,0.537351
7150,1.391294,0.776935
7160,1.293346,0.731794
